id,Name,titleProject_id,class,score,login,password
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,lAbFNrm8
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,SKsBZ3Ce
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,tpGFv0lE
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,hcWFYxEK
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,3XBfOrCA
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,bhicZMeT
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,YFpBPIcs
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,qmM1CzoY
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,HS9LYqFQ
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,iKX0XRRz
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,65CfpsHF
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,YeiYTzvJ
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,turuw8aa
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,oRh8k7Zq
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,VS18yQ7u
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,SWZYisMS
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,MSeg8va9
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,yn89Fqu1
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,PXg8Z8O7
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,yToTr0AN
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,HucilnW0
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,nFRCq8DJ
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,nNUrCmRZ
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,lgPReiqo
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,1dAgXqYZ
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,uhbzUsFU
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,gmO9R9Yr
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,zsBXkOJC
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,PGyLlavC
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,cHurvMDc
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,l1YS4SlT
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,8IaSeWUo
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,ZGFLxhVv
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,QugCwfyY
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,G9kGnaym
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,CMx2di7X
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,NdbvJ0s8
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,Wy3P2qws
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,aV4NzXqy
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,cmc9COLn
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,KNU8n4Z3
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,7zjUdMZI
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,rn0xn4W7
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,ZJ3vYs1G
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,4SkXPE9H
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,Q3nJ0XKp
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,STVioT4m
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,rVu6JybW
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,QOnCSAgc
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,Dubb1u2L
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,8MhuuXqr
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,N3Lxa7BA
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,ROZidpy2
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,fy8KEh9A
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,krbEkVKI
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,DH1AV14g
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,mUqwfOin
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,nzNxquFq
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,ZcHWey2P
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,HE68W31o
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,VENmO5Tj
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,I3cK0BDI
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,HMeDCJdC
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,tVM16A3N
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,PAT79uWc
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,GAY9e6zA
67,Остюков Артур Романович,329,11и,3,Остюков_АР,McIfjr48
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,AdDq5Xvz
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,O7m9pc6S
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,SFo9xajD
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,O7GaFoax
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,YW2I7tHw
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,VX67hZHY
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,5JmkY3Cc
