id,Name,titleProject_id,class,score
746606600,Сербин Геннадий Михаилович,7,8в,2
574103360,Папандина Клавдия Яковлевна,304,9в,5
976054453,Белагина Галина Андреевна,396,9а,4
359955918,Кижняева Анна Леонидовна,178,7и,2
532767707,Цывин Олег Яковлевич,446,7т,2
796021413,Жидняева Ксения Эдуардовна,373,7х,4
61474557,Липковский Анатолий Иванович,144,10а,2
377925593,Меднова Наталья Богдановна,290,7и,5
50044263,Житихин Вячеслав Романович,141,9а,5
104469358,Шеврина Полина Максимовна,33,11а,5
869951702,Алпеев Валентин Данилович,323,8а,2
379764162,Золикова Клара Игоревна,364,10х,2
864846018,Дориков Дмитрий Петрович,296,10г,5
25868113,Корабышев Кирилл Михаилович,302,8и,5
409709813,Ростовиков Константин Николаевич,336,10а,2
932210445,Нехаев Дмитрий Фёдорович,129,7х,4
276002228,Зызлова Мария Николаевна,430,8г,3
769179702,Королупов Валерий Тимофеевич,397,10д,5
406249611,Стенцов Евгений Яковлевич,315,8и,4
176332791,Феклисов Константин Виталиевич,270,9т,None
614720960,Синелев Руслан Тимофеевич,300,8и,2
704928868,Опевалова Вера Евгеньевна,473,9д,5
439585012,Назерова Вероника Василевна,206,7б,5
626160816,Дименская Светлана Дмитриевна,387,9д,5
316438788,Ковторева Раиса Василевна,482,9и,2
947747324,Кулишнин Вячеслав Яковлевич,386,11х,5
863901836,Лексин Кирилл Антонович,139,7в,5
374950439,Лаковский Григорий Василиевич,240,7д,5
459528585,Барамыкова Александра Алексеевна,106,10а,3
695384445,Плясулина Оксана Андреевна,346,8х,2
834789964,Петрикеев Станислав Яковлевич,14,7и,4
425385647,Моторыгин Илья Георгиевич,238,10и,5
183296307,Рыков Тарас Павлович,174,10и,5
745959840,Иончикова Елизавета Егоровна,169,8д,5
791389259,Смолькина Алиса Егоровна,441,7г,5
60272034,Оболенин Герасим Павлович,472,7и,4
416981296,Трощинский Георгий Борисович,67,9д,3
154567711,Поддубская Лиза Игоревна,496,10а,4
899966647,Телькова Валерия Олеговна,335,7х,4
383573308,Чигварина Александра Алексеевна,428,10б,2
825414081,Киреевский Артур Игоревич,119,7в,3
129762879,Шумейкин Роман Павлович,420,8в,5
673579504,Трушинов Максим Алексиевич,82,8и,4
